time,energy_abs
8.0,81887.34789462641
16.0,144374.43366501946
24.0,375857.7229250395
32.0,150556.6386132238
40.0,99920.03982111503
48.0,138053.38626740585
56.0,133148.20176220284
64.0,193856.16073118013
72.0,110872.90577623599
80.0,278644.1613481848
88.0,64244.58016772615
96.0,86583.31224030365
104.0,81029.70930026278
112.0,85384.12703716937
120.0,117675.14257326958
128.0,103017.95810536065
136.0,180396.96401661696
144.0,78460.50448186917
152.0,152341.43115560847
160.0,223685.7148440537
168.0,71778.27416689006
176.0,112241.39360900859
184.0,82857.7327366274
192.0,45443.72301412604
200.0,148509.42118366613
208.0,69135.941646036
216.0,100992.00323722597
224.0,126659.0773755915
232.0,82726.67973675541
240.0,40114.2527373383
248.0,67790.77389035384
256.0,86981.38080668931
264.0,75427.92261063075
272.0,130493.43796659181
280.0,57443.76264090942
288.0,86986.71438839893
296.0,78812.16571077866
304.0,58989.747625481
312.0,62548.75938840161
320.0,181428.47857005315
328.0,201841.97677470703
336.0,261125.9605706957
344.0,82614.64106161769
352.0,54058.904264858706
360.0,41658.670749889265
368.0,101260.0637752017
376.0,231359.85807571263
384.0,117942.74674566406
392.0,116292.28913507055
400.0,122008.50556498862
408.0,153995.26772538
416.0,76051.08221892506
424.0,50641.03931220714
432.0,93986.3195105893
440.0,106911.94598505182
448.0,90738.06525723003
456.0,69274.30845954109
464.0,158648.57064874622
472.0,136919.44062149507
480.0,195209.54455610958
488.0,72044.74013914575
496.0,49372.88528100583
504.0,126343.03024060461
512.0,37576.97259855468
520.0,131067.30150627303
528.0,97250.52118030936
536.0,190704.77722470945
544.0,72261.64095974219
552.0,38198.73506878734
560.0,62030.61816234645
568.0,59708.79086032725
576.0,74729.91711269491
584.0,217311.13503162176
592.0,69071.72035468568
600.0,211838.86316918657
608.0,109480.93892426354
616.0,75129.9102510024
624.0,56060.279290489736
632.0,76343.80156813623
640.0,83145.53154549946
648.0,110514.25125219507
656.0,133665.7651169811
664.0,194865.48543296964
672.0,97404.47234079556
680.0,132775.83692252007
688.0,25078.41373718623
696.0,92603.01848194185
704.0,72607.76972606801
712.0,58630.7869689607
720.0,66344.76698070897
728.0,59184.044853098436
736.0,137340.75210931385
744.0,158289.64858846803
752.0,78104.4820696868
760.0,86132.39312441058
768.0,41589.79926708287
776.0,94643.89400219964
784.0,96019.49817211239
792.0,159272.32463694733
800.0,93906.28422052297
808.0,133876.7394735818
816.0,233536.34640661092
824.0,112548.02477875949
832.0,123567.48183222678
840.0,110342.99967215439
848.0,156548.68499394262
856.0,79904.17435389955
864.0,203832.48601455707
872.0,127374.55888169716
880.0,235761.49267850927
888.0,78197.36562241077
896.0,86736.88085114415
904.0,60312.49877290937
912.0,67668.88996525374
920.0,108143.13001492771
928.0,53292.452694969645
936.0,69956.30158104087
944.0,52103.16066914935
952.0,78641.69256046324
960.0,79381.24548755102
968.0,164215.66822473926
976.0,60685.817621099726
984.0,41987.28167576487
992.0,132425.82619473344
1000.0,65404.46408962125
1008.0,27467.366288464953
1016.0,101138.56404794393
1024.0,135341.7704491745
1032.0,172968.22613317723
1040.0,138433.2581906772
1048.0,112555.46608651994
1056.0,116622.02618302632
1064.0,183262.31803680002
1072.0,54449.517385324485
1080.0,298442.9876526552
1088.0,111073.60846412017
1096.0,114428.85712902682
1104.0,160039.0106249528
1112.0,100155.67659548484
1120.0,148070.80138045174
1128.0,100365.18809931961
1136.0,109128.18185992487
1144.0,105552.2273843174
1152.0,207883.31441498236
1160.0,67181.44778208944
1168.0,159332.04278581758
1176.0,272685.47315000294
1184.0,216413.12989350257
1192.0,99617.61011338225
1200.0,184738.92921624973
1208.0,120602.39826432617
1216.0,174307.19651564356
1224.0,72439.12290252322
1232.0,156627.34496856303
1240.0,110078.75796777269
1248.0,95747.89773617296
1256.0,85466.60858395693
1264.0,158592.31426638123
1272.0,131428.59728436757
1280.0,202766.46923553955
1288.0,297038.6443213551
1296.0,126158.88349850863
1304.0,214614.0512491658
1312.0,141344.01282985712
1320.0,75977.41064150876
1328.0,195083.97895597274
1336.0,91433.9002693397
1344.0,313271.26053183276
1352.0,156645.2263790851
1360.0,57905.16732127251
1368.0,44653.42331382878
1376.0,122049.96835847147
1384.0,201421.49411498223
1392.0,259181.67218506415
1400.0,196957.16548009263
1408.0,166555.33717425828
1416.0,39426.56026966266
1424.0,298813.1761973272
1432.0,36074.001818137505
1440.0,127169.14884022552
1448.0,117093.78349823045
1456.0,119926.58547610596
1464.0,105299.14942399788
1472.0,102791.1917499492
1480.0,194308.25732821855
1488.0,53144.96219128799
1496.0,52041.49449987197
1504.0,99514.02907733254
1512.0,126261.68461587626
1520.0,175146.90752474562
1528.0,230956.1577192252
1536.0,88447.4508876463
1544.0,58496.15819186775
1552.0,107487.09312567097
1560.0,72535.09657626206
1568.0,131062.88568699433
1576.0,195186.89008503256
1584.0,233394.65437471136
1592.0,89760.93721537215
1600.0,89125.48902678654
1608.0,138948.39448145026
1616.0,126498.0589523856
1624.0,166322.31092769327
1632.0,157534.5570785273
1640.0,299907.29385408596
1648.0,233380.02839411303
1656.0,149961.08843081287
1664.0,74486.02107913306
1672.0,133348.47573122603
1680.0,79705.85666056408
1688.0,62056.94670939751
1696.0,88802.2566205794
1704.0,145512.04304241287
1712.0,299918.90151530824
1720.0,87700.23983717436
1728.0,87496.77913536187
1736.0,270943.58774427534
1744.0,48999.929241168975
1752.0,88534.51963093026
1760.0,261534.0858403591
1768.0,161976.62542789485
1776.0,339861.0001656043
1784.0,304308.5856696727
1792.0,96663.07237338858
1800.0,211010.8696746098
1808.0,149073.84288010123
1816.0,79639.34254918034
1824.0,253011.56210463314
1832.0,80355.20003537314
1840.0,74752.61017884943
1848.0,126781.39648193278
1856.0,223544.35779040397
1864.0,98567.71441772563
1872.0,93993.9481230319
1880.0,88370.03106840087
1888.0,164881.47449100687
1896.0,112422.86159417003
1904.0,109878.72809752573
1912.0,153003.45381929982
1920.0,110681.03322721962
1928.0,83740.75716403419
1936.0,95497.3557688114
1944.0,238557.39011197948
1952.0,38242.404421625215
1960.0,68051.46515555393
1968.0,112998.02206425187
1976.0,175136.14845731863
1984.0,195866.9658426943
1992.0,305604.65852076584
2000.0,253738.57513199322
2008.0,67908.67664830877
2016.0,70704.1129155719
2024.0,137369.136024437
2032.0,91735.60709152068
2040.0,115192.36276543146
2048.0,55175.51684540746
2056.0,272220.84347558697
2064.0,420243.51229338255
2072.0,116674.0839497667
2080.0,98219.9684909502
2088.0,97156.26584247363
2096.0,167137.50583702011
2104.0,227458.8130484352
2112.0,313358.85073472775
2120.0,315006.7060257102
2128.0,140578.5712309847
2136.0,142421.90194530712
2144.0,230419.19745864192
2152.0,222646.80655468325
2160.0,225674.48429731902
2168.0,274520.62029560877
2176.0,290770.8779853103
2184.0,71156.00274674244
2192.0,227389.6920451032
2200.0,297636.74744416896
2208.0,127724.76175763897
2216.0,122824.0513698595
2224.0,134641.88861891715
2232.0,220820.03404497512
2240.0,175093.2539220399
