time,energy_abs
9.0,17946.074949019774
18.0,8140.584877890234
27.0,28502.788440133256
36.0,10474.701538302987
45.0,9174.817274516483
54.0,7531.042181542472
63.0,12351.583239413181
72.0,53331.71909945423
81.0,47102.517684042024
90.0,56256.57479778705
99.0,47598.51301901519
108.0,37597.802567637715
117.0,10468.834232587185
126.0,20883.901562651423
135.0,34578.90134594771
144.0,48300.43255146357
153.0,31381.230049693415
162.0,14100.008750470737
171.0,6103.128833873314
180.0,6746.921812217291
189.0,8927.714966549036
198.0,10790.460460403016
207.0,13965.697407655083
216.0,39338.34308297721
225.0,18315.96106835175
234.0,7054.466117536515
243.0,28790.937567105273
252.0,51127.58027504825
261.0,46185.987120739555
270.0,80261.7451774035
279.0,85682.22089385212
288.0,86765.12847498682
297.0,84169.03748409326
306.0,90144.86308928818
315.0,53049.6043104149
324.0,41528.08979485535
333.0,44666.141972436526
342.0,54996.66198650267
351.0,55130.17812728204
360.0,63499.1696802867
369.0,67208.52668553866
378.0,76389.77574298445
387.0,82333.69471293318
396.0,103887.07716932514
405.0,113369.97143494054
414.0,102691.57521385366
423.0,91187.3634965715
432.0,80795.61403972634
441.0,69048.83271006876
450.0,79350.9827725822
459.0,79575.99402995451
468.0,65688.03614903076
477.0,52325.552081223905
486.0,54269.422307143424
495.0,65204.54133889099
504.0,65018.03539216627
513.0,63746.14522776593
522.0,63298.317703627836
531.0,66905.76406232153
540.0,65609.10197013342
549.0,70380.02192439754
558.0,85238.28516914719
567.0,81773.59194326721
576.0,82009.9125373232
585.0,71498.49184156203
594.0,75837.34961581576
603.0,62699.27119216223
612.0,66049.75145402696
621.0,82215.67434072081
630.0,79793.51837234761
639.0,89478.80877485656
648.0,98787.07392726342
657.0,82900.35584047492
666.0,81548.64966804054
675.0,64792.147177188504
684.0,81247.3106164277
693.0,97245.05634716408
702.0,96200.29478763705
711.0,88318.36503421719
720.0,65391.08758761932
729.0,43424.323067481135
738.0,48385.97009987341
747.0,36136.95236090181
756.0,51079.238821294675
765.0,56509.387434281525
774.0,43113.77056136058
783.0,67789.98430995698
792.0,87812.11061457628
801.0,97134.79022911501
810.0,102200.0244365282
819.0,127576.83342720468
828.0,115219.25836104901
837.0,98067.14785236074
846.0,117620.79997642165
855.0,108837.98211205166
864.0,93855.81781492314
873.0,83431.23937219038
882.0,68131.26099335961
891.0,63644.33903693312
900.0,57188.19727305794
909.0,54483.997473792915
918.0,52586.72364826565
927.0,43986.864932797645
936.0,48717.20925319183
945.0,43658.35729839772
954.0,36708.16063026154
963.0,28690.214304259986
972.0,15417.667953145234
981.0,25656.23464612837
990.0,25884.555819819452
999.0,14966.962200430988
1008.0,5070.135059555178
1017.0,8434.068101406967
1026.0,21299.848577649333
1035.0,49199.853392979305
1044.0,61955.2179727789
1053.0,80172.46300602784
1062.0,100405.38978429267
1071.0,111220.89687653507
1080.0,133802.6149818763
1089.0,122982.28656588361
1098.0,131968.68763788213
1107.0,122448.30310482436
1116.0,109901.81956476987
1125.0,95694.74396417427
1134.0,98296.31901412802
1143.0,100748.22332937655
1152.0,105127.87590463833
1161.0,112853.13479476831
1170.0,100772.06754603052
1179.0,94193.2622017129
1188.0,73626.14492530256
1197.0,82734.2876186479
1206.0,93463.80658247002
1215.0,94725.67988222715
1224.0,93334.60769180121
1233.0,88547.93547454216
1242.0,75445.48929825239
1251.0,67186.43446778035
1260.0,84126.24121616459
1269.0,98874.29719260643
1278.0,103424.35509216762
1287.0,101515.51081894027
1296.0,113732.74043914082
1305.0,121076.89494899014
1314.0,133509.10397692161
1323.0,122223.86959525646
1332.0,110452.48435208546
1341.0,127188.36665971919
1350.0,134683.68559177665
1359.0,140039.1786665277
1368.0,125600.7148189103
1377.0,113522.27803133296
1386.0,117317.57246475507
1395.0,125224.08223346404
1404.0,117884.94923270651
1413.0,129514.39215746961
1422.0,146510.92778581497
1431.0,148886.89576614086
1440.0,136945.22719038485
1449.0,152413.3379493887
1458.0,148935.57580555143
1467.0,134327.69747798846
1476.0,118976.13470935746
1485.0,118047.72872927436
1494.0,127032.99745530874
1503.0,130996.69789926725
1512.0,108256.77711047222
1521.0,106528.25967202736
1530.0,91196.82209479735
1539.0,86198.3696104066
1548.0,89362.84880319033
1557.0,79587.87830099526
1566.0,80979.56148776798
1575.0,101249.0309862991
1584.0,109780.53745321682
1593.0,115171.59888471354
1602.0,110799.76252967736
1611.0,94764.11719799161
1620.0,81911.24645758372
1629.0,99053.97891714539
1638.0,97044.95981827792
1647.0,103612.748442376
1656.0,121273.24468138312
1665.0,125134.52999137712
1674.0,125181.88884987895
1683.0,126166.82174761889
1692.0,123920.4559487174
1701.0,116523.93727946308
1710.0,111755.03000105754
1719.0,105427.0528726197
1728.0,104627.45054162007
1737.0,92655.22282450098
1746.0,90603.90907473525
1755.0,96453.65052124987
1764.0,89471.08906640275
1773.0,80682.47886439922
1782.0,72422.46917163981
1791.0,73305.86699044544
1800.0,77371.37027506031
1809.0,16601.753814454394
1818.0,24154.96116716669
1827.0,13298.880799398357
1836.0,24461.73206851408
1845.0,47297.0419677939
1854.0,36587.94811238484
1863.0,33021.81674937049
1872.0,25329.375193597298
1881.0,27621.255424764302
1890.0,17822.592989923534
1899.0,9204.122335774513
1908.0,14716.779902879323
1917.0,14510.96502080604
1926.0,17648.85346318266
1935.0,32711.029314253887
1944.0,33317.472555382665
1953.0,52727.61917095048
1962.0,44112.49881051413
1971.0,36964.45067701775
1980.0,37621.725986364465
1989.0,46384.46607145175
1998.0,62305.331726156226
2007.0,72847.97501204477
2016.0,72779.43635892968
2025.0,69795.04657579928
2034.0,66951.99362277638
2043.0,52953.93281582808
2052.0,51412.907957296964
2061.0,57997.67720517022
2070.0,56593.53023798073
2079.0,57781.05570498088
2088.0,50152.1747189473
2097.0,58301.8941087166
2106.0,60539.48954523122
2115.0,60901.291715415995
2124.0,58654.97514033959
2133.0,61483.354486444565
2142.0,66245.195960955
2151.0,68931.79798167465
2160.0,63574.79919600444
2169.0,72699.65216829913
2178.0,77723.64260462382
2187.0,83569.61115879357
2196.0,80322.0788262539
2205.0,76325.28313223885
2214.0,83713.29476016633
2223.0,85225.81694217074
2232.0,73040.4655122246
2241.0,63274.68343653508
2250.0,73570.66206094716
2259.0,77881.06800502886
2268.0,75403.86129326466
2277.0,73743.81744591123
2286.0,66917.65971055323
2295.0,67396.62373340137
2304.0,65553.89497144581
2313.0,68708.98351519142
2322.0,70225.47741400478
2331.0,65812.73463638606
2340.0,74512.11637955473
2349.0,69483.83893873131
2358.0,68031.65788623031
2367.0,65394.9132835647
2376.0,63930.13545459539
2385.0,64456.44141942806
2394.0,65908.70243324531
2403.0,56686.33265951383
2412.0,53919.685215094694
2421.0,63709.725384512014
2430.0,66528.03648086642
2439.0,72429.3141737277
2448.0,79374.63381020633
2457.0,93737.82363409101
2466.0,93709.48478102022
2475.0,92369.75067752028
2484.0,91341.90058591089
2493.0,74714.77766525946
2502.0,87101.58854962881
2511.0,76540.9514222899
2520.0,82335.71311504887
2529.0,105494.19147959267
2538.0,108701.59955965013
2547.0,109091.76537916047
2556.0,101325.39845869012
2565.0,95774.8404319279
2574.0,112244.47466062356
2583.0,139587.75312770152
2592.0,144367.8668544582
2601.0,143601.22035411478
2610.0,154678.7862196226
2619.0,155524.25962499602
2628.0,159051.41037620997
2637.0,165350.50477775605
2646.0,174050.61812287418
2655.0,152581.23920691654
2664.0,144202.3387932749
2673.0,146446.45149218934
2682.0,143678.98287616603
2691.0,139342.38228097712
2700.0,121668.96851427731
2709.0,128683.33916729357
2718.0,138782.58782239104
2727.0,139390.0775820123
2736.0,145695.98053805096
2745.0,139265.40386860305
2754.0,140578.3352027952
2763.0,153653.23532766468
2772.0,181797.87445912746
2781.0,171028.94994039348
2790.0,161707.79396573902
2799.0,156982.82365157024
2808.0,176345.6751745717
2817.0,172532.07603719074
2826.0,166901.99706349216
2835.0,164045.62226120054
2844.0,157538.5539280274
2853.0,169611.80194717098
2862.0,186109.02220756243
2871.0,212498.38260983175
2880.0,238936.95911144326
2889.0,219934.53429363627
2898.0,168632.68130494317
2907.0,173514.63130999138
2916.0,164002.83123023872
2925.0,159177.89850791928
2934.0,162785.230667086
2943.0,148357.25080562176
2952.0,141017.3559873711
2961.0,146565.13366246363
2970.0,141286.88129134328
2979.0,125607.67754680997
2988.0,139323.1652082555
2997.0,132434.827265299
3006.0,126452.44060102498
3015.0,137032.41591857802
3024.0,159248.68933861802
3033.0,162093.95147375812
3042.0,160902.96283903136
3051.0,165497.00672437964
3060.0,168072.39986520124
3069.0,178436.37423138227
3078.0,170720.86712655256
3087.0,166211.0762931431
3096.0,131142.2466378748
3105.0,133738.91557785793
3114.0,141636.06349170877
3123.0,133358.34317808197
3132.0,137522.02565777826
3141.0,108236.19938178168
3150.0,110336.46851591721
3159.0,118111.94990654546
3168.0,104755.05792641827
3177.0,108160.78843335253
3186.0,118887.69329143155
3195.0,136419.0662669087
3204.0,148425.27381300903
3213.0,160543.18953642898
3222.0,161463.39826737833
3231.0,176737.64003838247
3240.0,192441.00483797
3249.0,198011.17597521504
3258.0,194207.58236454113
3267.0,191061.33543080304
3276.0,180982.5476442004
3285.0,190748.1466588211
3294.0,219354.46841814948
3303.0,251030.7408246209
3312.0,319659.4938744409
3321.0,360807.09268674697
3330.0,372927.20622744155
3339.0,394508.8522063916
3348.0,362265.96579766663
3357.0,411939.33223062905
3366.0,375535.85814171453
3375.0,364546.1120033742
3384.0,337479.92347839504
3393.0,302938.10450144415
3402.0,285793.9910091247
3411.0,266394.28413399745
3420.0,276824.6657979521
3429.0,284242.86600178375
3438.0,301613.32285210676
3447.0,307119.47574283835
3456.0,293759.927221333
3465.0,339306.03751084855
3474.0,382182.07070798054
3483.0,388675.28799186635
3492.0,345603.6561013729
3501.0,354378.9846738761
3510.0,394627.67028746754
3519.0,390658.32819521264
3528.0,382896.7806150342
3537.0,396624.18988793937
3546.0,376205.54635017674
3555.0,376486.1948805427
3564.0,374665.6730168072
3573.0,346696.4207083187
3582.0,392172.9451474857
3591.0,392115.94365964324
3600.0,386062.8038608509
