step,reward
1,-2.681406e-06
2,-2.7825623e-05
3,0.0007890689
4,7.381321e-05
5,0.0034003789
6,0.011341176
7,0.01749434
8,0.0047668144
9,0.00037815046
10,0.0016882836
11,0.006133454
12,0.004347128
13,0.0031777618
14,0.0010587241
15,2.508032e-05
16,-5.6270394e-05
17,0.00023639601
18,0.00032811804
19,0.00016327057
20,2.6623991e-05
21,-2.1991882e-06
22,1.629048e-05
23,0.00040913856
24,0.001163144
25,0.003104542
26,0.0036467896
27,0.0011370215
28,-0.00013529418
29,0.0018457912
30,0.006083775
31,0.011060781
32,0.011247554
33,0.0068772743
34,0.0018880983
35,7.467381e-06
36,0.0001405548
37,0.0007854897
38,0.0015542499
39,0.0020042842
40,0.0036679516
41,0.0041142153
42,0.0051647043
43,0.0042910073
44,0.0029017937
45,0.00066870335
46,4.9014197e-06
47,0.0021379003
48,0.0063313316
49,0.008691729
50,0.00801343
51,0.0067480276
52,0.0033149444
53,0.00067903986
54,-8.887769e-05
55,0.000586422
56,0.0016118842
57,0.0036350116
58,0.004529026
59,0.0049659223
60,0.004869499
61,0.0038072036
62,0.0019167002
63,0.00024419907
64,2.7234528e-05
65,0.0016667438
66,0.0048041516
67,0.007992651
68,0.0094765825
69,0.008388984
70,0.0053482037
71,0.0019725054
72,2.543514e-05
73,0.00045076787
74,0.0027385417
75,0.005677994
76,0.0077790422
77,0.007401685
78,0.0052275844
79,0.0026181263
80,0.0008928322
81,-3.568166e-05
82,6.6432985e-05
83,0.0012016956
84,0.0030879015
85,0.005343952
86,0.0068132104
87,0.0059174243
88,0.0030142472
89,0.001004654
90,-1.2108976e-05
91,9.5642616e-05
92,0.001257589
93,0.0030693212
94,0.00479819
95,0.006196142
96,0.004118372
97,0.0033358636
98,0.0013689874
99,1.5370992e-05
100,0.00026915956
101,0.001804567
102,0.0035442188
103,0.0042125043
104,0.0035072304
105,0.0029225487
106,0.0024215356
107,0.0010118743
108,-3.580869e-05
109,0.00020812266
110,0.001915694
111,0.0044840025
112,0.0074928245
113,0.008255382
114,0.0062569827
115,0.0032782156
116,0.0011466923
117,5.13947e-05
118,0.00014590533
119,0.0019459797
120,0.0042291046
121,0.0064990283
122,0.0072356598
123,0.0073375064
124,0.0046109594
125,0.0017113447
126,5.2188952e-05
127,0.0002878436
128,0.0023161734
129,0.005120406
130,0.007080184
131,0.0073387823
132,0.0067426437
133,0.004103768
134,0.0012523463
135,3.2863827e-06
136,0.0001720392
137,0.0017626596
138,0.0045124358
139,0.005864698
140,0.007053131
141,0.0050824713
142,0.0035929761
143,0.0011984088
144,6.999588e-05
145,9.709769e-05
146,0.0016006123
147,0.0032792902
148,0.0063605714
149,0.0065450734
150,0.0057130605
151,0.003623951
152,0.0018135983
153,9.107967e-05
154,0.00025584883
155,0.0017305985
156,0.0047303727
157,0.0058713844
158,0.0068078525
159,0.0063764635
160,0.0034238573
161,0.0012543732
162,6.438835e-05
163,6.077739e-05
164,0.000894354
165,0.0031199793
166,0.005929182
167,0.007257007
168,0.005874756
169,0.004336911
170,0.001928346
171,0.00012391064
172,6.149144e-05
173,0.0018054117
174,0.003367648
175,0.0046501146
176,0.0038775096
177,0.0022603758
178,0.0016444855
179,0.0004443421
180,-1.0881711e-05
181,8.742266e-05
182,-1.5045589e-06
183,5.5750676e-05
184,0.00043286066
185,0.001205803
186,0.0021151924
187,0.0012816854
188,0.00059480633
189,-2.1008935e-05
190,0.00015482068
191,7.4774056e-05
192,0.0015377372
193,0.003520493
194,0.004212445
195,0.0043200497
196,0.0031716009
197,0.0011897255
198,0.000114026065
199,7.2302646e-06
200,0.00044013208
201,0.0018716761
202,0.0028821952
203,0.0027607551
204,0.0033890433
205,0.0021204792
206,0.00078883907
207,-3.8967395e-05
208,8.2561055e-05
209,0.00037453492
210,0.0009724946
211,0.002179049
212,0.0034749615
213,0.0027458635
214,0.0023537881
215,0.0013243384
216,0.00018273227
217,-1.6772108e-05
218,0.0004866259
219,0.0017865242
220,0.0020284976
221,0.001761052
222,0.0007205511
223,0.0006923653
224,0.00040553662
225,-3.8778635e-05
226,0.00017811827
227,0.0002623429
228,0.0010632236
229,0.000679501
230,0.0007502155
231,0.0012785118
232,0.0010209257
233,0.0002868973
234,5.460286e-05
235,8.878018e-05
236,0.00033251796
237,0.000102641905
238,0.00054297876
239,0.00047426546
240,0.0008100128
241,0.0011653322
242,0.00046927747
243,-7.395172e-05
244,0.00011468197
245,0.0005607883
246,0.00056156947
247,0.0020507206
248,0.003425823
249,0.0022186143
250,0.0009970195
251,0.0007438988
