step,reward
1,0.0010208334
2,0.00058373704
3,0.00011342594
4,1.7633334e-05
5,0.0017480336
6,0.008036033
7,0.015398227
8,0.0161472
9,0.008411292
10,0.00014228148
11,0.00078370364
12,0.0014840333
13,0.0023056336
14,0.0030200335
15,0.029557869
16,0.0027520151
17,0.0149931265
18,0.016442405
19,0.0050786706
20,0.0006317371
21,0.0022188004
22,0.003026726
23,0.02968356
24,0.051060624
25,0.0009075
26,4.32e-05
27,4.2403703e-05
28,0.0021056149
29,0.009339793
30,0.019253334
31,0.0010364482
32,0.0063074995
33,0.008579572
34,0.003921633
35,9.633333e-06
36,0.001245926
37,0.0021788483
38,0.0029008337
39,0.028561959
40,0.049288537
41,0.039240837
42,0.01170846
43,0.00031363333
44,0.020193428
45,0.05348149
46,0.069729336
47,0.055584732
48,0.024653334
49,0.0023941335
50,0.0013872002
51,0.0024180147
52,0.027060032
53,0.0038081335
54,0.031514402
55,0.0033215152
56,0.021726234
57,0.030294817
58,0.00015717038
59,0.00021511482
60,0.0039292593
61,0.013300093
62,0.02353867
63,0.0010169483
64,0.0057500587
65,0.007658682
66,0.0033496334
67,0.00029244815
68,0.0010960593
69,0.0019040334
70,0.002607115
71,0.0029403002
72,0.02561815
73,0.038258504
74,0.0002780593
75,4.0833336e-05
76,0.00049342593
77,0.0011531999
78,0.014667036
79,0.0020391261
80,0.014593427
81,0.020768238
82,0.011446534
83,0.0002680037
84,0.0012892594
85,0.017040834
86,0.038832016
87,0.0018881336
88,0.010440893
89,0.013867501
90,0.0067700157
91,0.00030294814
92,0.0012330705
93,0.016411204
94,0.0026009039
95,0.0023232002
96,0.0021505335
97,0.016069962
98,0.019422594
99,1.337037e-06
100,0.00046151484
101,0.0011408334
102,0.014593427
103,0.03125565
104,0.001136726
105,0.00034453702
106,8.4448155e-05
107,7.1703707e-06
108,0.0002503704
109,0.0054495153
110,0.016442405
111,0.024519736
112,0.02110285
113,2.3114815e-05
114,0.00056333333
115,0.00047733705
116,0.0074471254
117,0.0016775148
118,0.0169932
119,0.0021561817
120,0.015097633
121,0.0213867
122,0.011774405
123,0.0005461334
124,0.0015744594
125,0.022158949
126,0.04901868
127,0.056016006
128,0.00061351486
129,0.0008568927
130,1.1203704e-05
131,0.00023894814
132,0.0007367259
133,0.0014467594
134,0.0021336332
135,0.002496448
136,0.021996183
137,0.03291245
138,0.019883294
139,0.00023333704
140,0.0013872002
141,0.0022765037
142,0.0029933373
143,0.029328132
144,0.0027328925
145,0.014903837
146,0.016333334
147,0.005035393
148,0.0006409481
149,0.016023705
150,0.0028681483
151,0.023613425
152,0.039773077
153,0.03112667
154,0.008760904
155,0.0005070371
156,0.019000834
157,0.04891095
158,0.06369486
159,0.0012892594
160,0.00041564813
161,0.0027201816
162,0.0023526258
163,9.12926e-05
164,0.0006378704
165,0.010071116
166,0.02573517
167,0.0015360593
168,0.0092225345
169,0.0005292
170,0.0014981332
171,1.7125927e-05
172,0.0003745333
173,0.0009861334
174,0.0130347265
175,0.0018828483
176,0.0136107
177,0.00086403335
178,0.002907393
179,0.0011122372
180,0.00055183703
181,0.008921127
182,0.023408134
183,0.0014606816
184,0.008955648
185,0.00051805936
186,0.0014653371
187,0.00023333704
188,0.00043319998
189,0.0011697926
190,0.014903837
191,0.031817637
192,0.0011531999
193,0.004448949
194,6.0681483e-05
195,9.12926e-05
196,0.00042563336
197,0.0010364482
198,0.013525635
199,0.0019306814
200,0.013896183
201,0.019831836
202,0.010893427
203,0.0002680037
204,0.0012718369
205,0.016866505
206,0.0026570708
207,0.0023585334
208,0.0021788483
209,0.0015987
210,0.0008321334
211,0.0032865335
212,4.5370375e-06
213,0.0019521335
214,0.0089902375
215,0.016882315
216,0.017344061
217,6.4533335e-05
218,6.0681483e-05
219,0.00032890373
220,0.00086403335
221,0.012335648
222,0.029977873
223,0.0016477371
224,0.0009296334
225,0.0006317371
226,0.00024653334
227,0.00045370375
228,0.0001337037
229,0.0045223148
230,0.014829634
231,0.023129633
