step,reward
1,-1.4745601e-05
2,-0.0001483524
3,-0.00021138492
4,-0.00051682314
5,0.0032321322
6,0.017645955
7,0.02072816
8,0.0140819885
9,0.004383898
10,-0.0019030619
11,0.0010469432
12,0.017965326
13,0.037566923
14,0.03877924
15,0.026655443
16,0.0074437005
17,-0.0017051571
18,-0.0002931659
19,0.013135704
20,0.025866099
21,0.024157649
22,0.01600664
23,0.0051317746
24,0.00038791564
25,-0.0012887997
26,0.0034493147
27,0.013467811
28,0.022074321
29,0.029221505
30,0.029359318
31,0.015309525
32,0.002783565
33,-0.0008609961
34,0.0025088517
35,0.017666003
36,0.036061797
37,0.04461106
38,0.03866952
39,0.025191095
40,0.0047872923
41,3.338803e-05
42,0.0039197505
43,0.023110896
44,0.041716516
45,0.055935856
46,0.04444003
47,0.022261009
48,0.0042906143
49,-0.001000606
50,0.0033812677
51,0.014180022
52,0.023743689
53,0.032666467
54,0.0274262
55,0.009382635
56,0.0015442866
57,-0.0008316093
58,0.0059467666
59,0.020542733
60,0.026735106
61,0.0226845
62,0.023326974
63,0.009028033
64,-0.0012564838
65,-0.0009868657
66,0.0032712265
67,0.014086549
68,0.02442965
69,0.025972359
70,0.020662673
71,0.008334143
72,-0.0008524743
73,-0.0014399524
74,0.0022591846
75,0.010693266
76,0.017813
77,0.012973891
78,0.008824202
79,0.006226803
80,0.00017783744
81,-0.0014209681
82,0.0048766606
83,0.01662797
84,0.020353975
85,0.018814398
86,0.009142844
87,0.002054851
88,-0.0011598921
89,-0.0014287177
90,0.002906645
91,0.010934829
92,0.021165956
93,0.029989691
94,0.028651433
95,0.012423303
96,0.0021662028
97,-0.0012746705
98,0.0059419274
99,0.019696571
100,0.03700257
101,0.045286488
102,0.0410854
103,0.027115287
104,0.008670795
105,-0.001378834
106,0.0038032779
107,0.019847533
108,0.037057117
109,0.04160287
110,0.04222851
111,0.026396917
112,0.008889221
113,-0.00076795963
114,0.0011227591
115,0.01578629
116,0.02853736
117,0.039100464
118,0.02962008
119,0.014678017
120,0.0032715956
121,-0.0010240511
122,0.002723082
123,0.0152523955
124,0.031663936
125,0.035960555
126,0.026378632
127,0.009537128
128,0.0023621402
129,0.0013461104
130,0.004572488
131,0.022948097
132,0.0336972
133,0.03994303
134,0.024756368
135,0.0058334516
136,0.0028550788
137,0.00078698224
138,0.005545387
139,0.017393326
140,0.023490032
141,0.016192114
