time,energy_abs
8.0,201787.58699335263
16.0,220133.17357115733
24.0,382835.1592269931
32.0,229540.51327670467
40.0,161690.05841083275
48.0,192168.4955824598
56.0,377545.67460966524
64.0,271147.4290121234
72.0,209104.24853631665
80.0,39967.95921686195
88.0,134695.52263005552
96.0,141447.2188454962
104.0,153361.12267582875
112.0,88639.06632033059
120.0,76343.9595704928
128.0,108589.0899157815
136.0,114489.89788150435
144.0,170450.6117751198
152.0,359274.3078766259
160.0,368712.0199759897
168.0,498046.5418517158
176.0,740012.7453789089
184.0,799308.3711894341
192.0,846732.591412924
200.0,982712.0695349013
208.0,852979.3961442143
216.0,905565.2838975487
224.0,918918.5033116774
232.0,913600.5577936906
240.0,780655.9161839485
248.0,405744.0653964877
256.0,364915.5490678129
264.0,368220.97661150276
272.0,349929.14650860114
280.0,238871.14154192983
288.0,543328.06726804
296.0,392526.0361414177
304.0,414979.685630861
312.0,960182.6202132471
320.0,1010073.8008823134
328.0,1239011.3185081563
336.0,834984.7864070743
344.0,319579.5224915097
352.0,174349.68684564423
360.0,75906.43377171419
368.0,242981.7055508317
376.0,393789.66061041085
384.0,609846.2309660963
392.0,735085.7056047342
400.0,717281.2100349625
408.0,686168.5847986804
416.0,765383.4505614957
424.0,770833.721188704
432.0,688082.6745218276
440.0,597604.2388938239
448.0,328550.33309926256
456.0,252121.09635631234
464.0,431106.9052644007
472.0,312107.8033424575
480.0,198059.14174812468
488.0,164775.53748284106
496.0,97636.45478543235
504.0,91214.98929290666
512.0,43909.91655694425
520.0,35828.11304175495
528.0,256753.88185032664
536.0,374170.1877150433
544.0,378557.57815916283
552.0,428996.5766342075
560.0,439749.6954890858
568.0,466702.4394799747
576.0,453131.32962535904
584.0,346520.39202486636
592.0,298257.1223900801
600.0,360600.68424525316
608.0,255172.45332090938
616.0,97635.60515095809
624.0,80315.52343077707
632.0,81233.5231099478
640.0,44794.5229193932
648.0,71073.84241334118
656.0,156319.23065202625
664.0,186775.0733528733
672.0,160981.7271328359
680.0,138134.55435409688
688.0,160116.76552404603
696.0,161245.9078205512
704.0,161879.2510408354
712.0,260869.27330922164
720.0,463693.48451697454
728.0,521167.7501978122
736.0,606377.8994733245
744.0,712183.9014981337
752.0,711923.2956856025
760.0,760978.2999236863
768.0,677989.3526330006
776.0,704168.3916386808
784.0,689738.6349609685
792.0,604881.4999652898
800.0,661641.1835502385
808.0,755436.2484788018
816.0,730224.2046131351
824.0,760569.4816445842
832.0,837621.2368454868
840.0,645174.6033568744
848.0,529414.8412845851
856.0,496168.8724780462
864.0,468418.0803392903
872.0,439551.9652130449
880.0,440266.0378246243
888.0,457240.9818359492
896.0,459955.43195677444
904.0,445952.110365168
912.0,306020.95850987657
920.0,134217.48728469422
928.0,67690.01223224019
936.0,64902.96557813478
944.0,29937.550549304455
952.0,55933.43309073843
960.0,75355.07543309555
968.0,97070.45788423874
976.0,81647.98972790164
984.0,157080.48378382606
992.0,247254.9092092233
1000.0,333217.1039336781
1008.0,359809.8813524082
1016.0,436494.8781863845
1024.0,429553.30710945197
1032.0,461608.9060826159
1040.0,568203.2497484841
1048.0,622388.3466273
1056.0,671042.2409492306
1064.0,634545.3242663273
1072.0,631365.0824048321
1080.0,734075.7842760684
1088.0,748673.9636665655
1096.0,708507.9966783526
1104.0,640591.0252968906
1112.0,616173.2286757388
1120.0,548112.8456937738
1128.0,517764.348107297
1136.0,512692.1325608203
1144.0,581331.468814508
1152.0,621669.8431930316
1160.0,617521.8835422304
1168.0,666781.9781721161
1176.0,691843.9067180238
1184.0,591333.9104187998
1192.0,612497.240415007
1200.0,509664.5491682513
1208.0,587704.1418842894
1216.0,637868.1493014491
1224.0,623634.1720162623
1232.0,586721.489522577
1240.0,543298.8144671433
1248.0,542420.6215004625
1256.0,533036.2297083508
1264.0,527405.6888215172
1272.0,481538.1090777286
1280.0,459789.06041448354
1288.0,463421.3139494828
1296.0,456286.27601273113
1304.0,420810.08937428787
1312.0,399723.29559511575
1320.0,323893.225790168
1328.0,336168.633226168
1336.0,348531.2899072961
1344.0,451543.6048508478
1352.0,490350.19551745587
1360.0,469231.63419297675
1368.0,437976.1108964683
1376.0,413308.4202072753
1384.0,369559.4067013077
1392.0,367233.33471785835
1400.0,355931.32154121523
1408.0,371389.4685070113
1416.0,396608.2934867719
1424.0,388739.80927910685
1432.0,372779.3882405383
1440.0,383867.16539304005
1448.0,386915.42092173453
1456.0,360489.9043069902
1464.0,311877.7566170788
1472.0,311472.50296798727
1480.0,238499.27307598875
1488.0,242065.53909487982
1496.0,244317.9654498216
