time,position,velocity,excitation_force,wave_t,damping_fpto,stifness_fpto,u_latching,power_inst
0.0,0.0,0.0,-0.6770460520030738,0.015071308509146111,56201.91395064773,0,1.0,0.0
0.020833333333333332,-2.644586106261825e-05,-0.002497408139729719,-0.6841403372488092,0.013374584570207284,56201.91395064773,0,1.0,0.3505340022019625
0.041666666666666664,-0.0001022949788075051,-0.004751507347702278,-0.691327042755044,0.011648520812466569,56201.91395064773,0,1.0,1.2688606115533374
0.0625,-0.00022283184962125098,-0.006786949349078119,-0.6986011466901931,0.009894247921636661,56201.91395064773,0,1.0,2.588810860141727
0.08333333333333333,-0.00038375326419551575,-0.008626233323225426,-0.7059575510829239,0.00811290628589361,56201.91395064773,0,1.0,4.182091276392714
0.10416666666666666,-0.000581136365251753,-0.010289870978746146,-0.7133910851121154,0.006305645251585789,56201.91395064773,0,1.0,5.9507398473291895
0.125,-0.0008113965848134176,-0.011796603884573846,-0.7208965084133934,0.004473622382589353,56201.91395064773,0,1.0,7.82105065748663
0.14583333333333331,-0.001071398348508335,-0.013162831025969924,-0.7284685144000483,0.0026180027238075377,56201.91395064773,0,1.0,9.737550390064971
0.16666666666666666,-0.0013585617858169665,-0.01440205728995447,-0.7361017335962358,0.0007399580692903709,56201.91395064773,0,1.0,11.65735907530784
0.1875,-0.0016704820148157528,-0.01552686097504443,-0.7437907369803471,-0.001159333764555029,56201.91395064773,0,1.0,13.549349161447756
0.20833333333333331,-0.0020049101095573805,-0.01654899214602817,-0.7515300393364509,-0.003078689660202829,56201.91395064773,0,1.0,15.39196989899068
0.22916666666666666,-0.002359753100070785,-0.01747937263396548,-0.759314102611786,-0.005016921914255568,56201.91395064773,0,1.0,17.17128464985721
0.25,-0.002733073972361147,-0.018328096036187562,-0.7671373392782161,-0.006972838946260244,56201.91395064773,0,1.0,18.87929659490562
0.2708333333333333,-0.0031230907221836356,-0.019104432578805466,-0.7749941156956893,-0.008945246000675613,56201.91395064773,0,1.0,20.51253769413871
0.29166666666666663,-0.0035283535904215672,-0.019815912740448804,-0.7828787554757076,-0.010932945841583136,56201.91395064773,0,1.0,22.06882790458606
0.3125,-0.003947768323943154,-0.02046820710125116,-0.7907855428428382,-0.012934739439741565,56201.91395064773,0,1.0,23.545651453854312
0.3333333333333333,-0.004380300542622803,-0.02106665450882226,-0.7987087259923743,-0.014949426651607228,56201.91395064773,0,1.0,24.942630408130853
0.35416666666666663,-0.004824957452864581,-0.021616356592214656,-0.8066425204422414,-0.01697580688994813,56201.91395064773,0,1.0,26.261292550217092
0.375,-0.005280787847602218,-0.02212217776192373,-0.8145811123772978,-0.019012679785696394,56201.91395064773,0,1.0,27.50469675961549
0.3958333333333333,-0.0057468821062991,-0.022588745209887674,-0.8225186619842043,-0.02105884584069726,56201.91395064773,0,1.0,28.67710584685292
0.41666666666666663,-0.006222372194948281,-0.023020448909487512,-0.8304493067750753,-0.023113107071025412,56201.91395064773,0,1.0,29.783702302331402
0.4375,-0.006706431666072472,-0.023421441615547094,-0.8383671648981577,-0.02517426764055453,56201.91395064773,0,1.0,30.830342641381122
0.4583333333333333,-0.007198346110166445,-0.02379527477945375,-0.8462663384338137,-0.02724113448447848,56201.91395064773,0,1.0,31.822372430590473
0.47916666666666663,-0.007697752238843277,-0.02414366315363576,-0.8541409166741417,-0.029312517922499004,56201.91395064773,0,1.0,32.761021314120306
0.5,-0.008204171564066682,-0.024468894943166012,-0.8619849793845616,-0.03138723226140522,56201.91395064773,0,1.0,33.64959320295532
