time,energy_abs,energy_wave,eta
9.0,109.94316921245908,557807382.700895,1.9709880618667309e-07
18.0,414.7154512800739,557807382.700895,7.434742962203692e-07
27.0,603.0749129946486,557807382.700895,1.0811526195199657e-06
36.0,1490.0991206346519,557807382.700895,2.6713506612616248e-06
45.0,567.5348182660449,557807382.700895,1.0174386999290862e-06
54.0,661.6655041636116,557807382.700895,1.1861899370349621e-06
63.0,953.1822475866312,557807382.700895,1.7088017784406815e-06
72.0,910.6814062565459,557807382.700895,1.6326090950016476e-06
81.0,5604.170776840306,557807382.700895,1.00467848770753e-05
90.0,2832.5295222609916,557807382.700895,5.077970658161473e-06
99.0,2393.4215922388194,557807382.700895,4.290767147343781e-06
108.0,712.6022006626795,557807382.700895,1.277505860916129e-06
117.0,794.0115943497588,557807382.700895,1.423451210891413e-06
126.0,1181.5760513451462,557807382.700895,2.118251009199578e-06
135.0,5082.659351210485,557807382.700895,9.111853856433962e-06
144.0,3765.687600085204,557807382.700895,6.750874435995811e-06
153.0,353.24671463394594,557807382.700895,6.332772307952087e-07
162.0,602.7854527284503,557807382.700895,1.080633694394241e-06
171.0,568.0291519853728,557807382.700895,1.0183249085642864e-06
180.0,561.3796586136598,557807382.700895,1.0064041388184354e-06
189.0,445.14286777684043,557807382.700895,7.980225461008877e-07
198.0,657.0109040890552,557807382.700895,1.177845479397957e-06
207.0,1412.7605534672443,557807382.700895,2.5327032184957446e-06
216.0,809.5347214122833,557807382.700895,1.451280041315567e-06
225.0,336.79884067439014,557807382.700895,6.037905755990808e-07
234.0,492.62677601628417,557807382.700895,8.831485406862002e-07
243.0,261.99014624578206,557807382.700895,4.696785205266192e-07
252.0,490.9501350189925,557807382.700895,8.80142770147321e-07
261.0,805.0775551101673,557807382.700895,1.4432895298229897e-06
270.0,52.26357873522922,557807382.700895,9.369467016045889e-08
279.0,279.990794607319,557807382.700895,5.019488864625775e-07
288.0,689.7801127329292,557807382.700895,1.2365919385882353e-06
297.0,629.9863704572597,557807382.700895,1.1293976917388136e-06
306.0,608.9412529602405,557807382.700895,1.0916694038930719e-06
315.0,335.65037366478805,557807382.700895,6.01731680279264e-07
324.0,42.14940594594825,557807382.700895,7.556265344116004e-08
333.0,292.5905833055512,557807382.700895,5.245369501723552e-07
342.0,142.6735792463492,557807382.700895,2.5577570980779396e-07
351.0,182.37435009197281,557807382.700895,3.269486129941826e-07
360.0,42.543044119125135,557807382.700895,7.626834179413754e-08
369.0,1025.9301428297329,557807382.700895,1.8392193697082216e-06
378.0,897.8352769031025,557807382.700895,1.6095794081386977e-06
387.0,328.79347245763506,557807382.700895,5.894390835517846e-07
396.0,1420.321984142121,557807382.700895,2.5462588488250964e-06
405.0,1063.2524518335526,557807382.700895,1.9061283245935184e-06
414.0,572.5959732491656,557807382.700895,1.0265120021837369e-06
423.0,368.26133281482015,557807382.700895,6.601944402953297e-07
432.0,81.45242648056171,557807382.700895,1.4602249630718455e-07
441.0,136.6855680619812,557807382.700895,2.4504080136077036e-07
450.0,109.62765099319405,557807382.700895,1.9653316609468057e-07
459.0,425.5445370253917,557807382.700895,7.628879613692302e-07
468.0,229.6084541846618,557807382.700895,4.11626775308891e-07
477.0,38.84607942189792,557807382.700895,6.964066921058982e-08
486.0,374.3717117143354,557807382.700895,6.711487214486714e-07
495.0,156.53494970233206,557807382.700895,2.806254534394869e-07
504.0,257.1228536572053,557807382.700895,4.609527618874823e-07
513.0,226.42379806496456,557807382.700895,4.059175354915956e-07
522.0,116.58723163597155,557807382.700895,2.09009839689568e-07
531.0,46.88134234262564,557807382.700895,8.404575449616119e-08
540.0,126.32991373518126,557807382.700895,2.264758725915274e-07
549.0,108.43981572504043,557807382.700895,1.9440369397761729e-07
558.0,157.74573286764843,557807382.700895,2.827960650213089e-07
567.0,1066.2331579351455,557807382.700895,1.9114719363742743e-06
576.0,1305.1733168768587,557807382.700895,2.339827971722477e-06
585.0,558.9620029267861,557807382.700895,1.0020699263969949e-06
594.0,1500.0690563084179,557807382.700895,2.689224099267217e-06
603.0,621.4563623870864,557807382.700895,1.1141056602334737e-06
612.0,736.1734596833446,557807382.700895,1.319762847380764e-06
621.0,375.0259645899248,557807382.700895,6.723216225178928e-07
630.0,1832.0733298747773,557807382.700895,3.2844192936348485e-06
639.0,332.03122574649785,557807382.700895,5.952435124447577e-07
648.0,969.7283446725814,557807382.700895,1.738464521529227e-06
657.0,525.3155555219881,557807382.700895,9.417508118634398e-07
666.0,730.6919532520437,557807382.700895,1.3099359669892576e-06
675.0,615.1765954061094,557807382.700895,1.1028477113863815e-06
684.0,457.81341721706497,557807382.700895,8.207374649656649e-07
693.0,371.3866299273039,557807382.700895,6.657972652298999e-07
702.0,443.03682818565477,557807382.700895,7.942469783036522e-07
711.0,128.4047145764541,557807382.700895,2.3019543763426073e-07
720.0,1202.320425327113,557807382.700895,2.1554401440610114e-06
729.0,307.5083150338749,557807382.700895,5.512804680800823e-07
738.0,621.9548648271146,557807382.700895,1.1149993422740635e-06
747.0,1378.0423684063262,557807382.700895,2.470462763927336e-06
756.0,173.67614205436163,557807382.700895,3.1135504376694404e-07
765.0,109.50733251982582,557807382.700895,1.9631746713281736e-07
774.0,183.33665902605722,557807382.700895,3.286737764895543e-07
783.0,2545.968532097722,557807382.700895,4.564243161806465e-06
792.0,300.4788854473983,557807382.700895,5.386785739415713e-07
801.0,934.2916208025472,557807382.700895,1.6749359183428538e-06
810.0,807.3691655640895,557807382.700895,1.4473977767286265e-06
819.0,783.7694494626215,557807382.700895,1.4050897743009807e-06
828.0,192.22256022650393,557807382.700895,3.4460382954374896e-07
837.0,85.91953860882059,557807382.700895,1.54030838015803e-07
846.0,244.61931567753774,557807382.700895,4.3853725006846396e-07
855.0,771.4808964841227,557807382.700895,1.38305967330268e-06
864.0,293.42202380709824,557807382.700895,5.260275014402879e-07
873.0,423.71698694004283,557807382.700895,7.596116510477353e-07
882.0,2173.5057834459235,557807382.700895,3.8965167024535265e-06
891.0,2764.062650223485,557807382.700895,4.955227800750744e-06
900.0,187.3668426997248,557807382.700895,3.3589882190604467e-07
909.0,711.5974757723512,557807382.700895,1.275704656913659e-06
918.0,1336.3933577466817,557807382.700895,2.3957971858957562e-06
927.0,292.3180862446157,557807382.700895,5.240484355535345e-07
936.0,140.91992382143042,557807382.700895,2.5263187292197225e-07
945.0,487.227720195558,557807382.700895,8.734694722690987e-07
954.0,306.3943627982423,557807382.700895,5.492834485529493e-07
963.0,554.1180231447792,557807382.700895,9.933859614079468e-07
972.0,2849.084996305945,557807382.700895,5.10765021163886e-06
981.0,1724.199892069567,557807382.700895,3.091030964346541e-06
990.0,1190.1015648649345,557807382.700895,2.1335349831737272e-06
999.0,2022.047643223347,557807382.700895,3.6249926156097524e-06
1008.0,1220.9603661668393,557807382.700895,2.188856591060103e-06
1017.0,294.7307287499449,557807382.700895,5.28373660676313e-07
1026.0,1126.8192733576882,557807382.700895,2.0200866971348543e-06
1035.0,301.6267615925894,557807382.700895,5.407364099989445e-07
1044.0,541.8562324759764,557807382.700895,9.714038380996624e-07
1053.0,748.7662959344876,557807382.700895,1.3423384472055074e-06
1062.0,2205.2112362610533,557807382.700895,3.953356130898545e-06
1071.0,1365.6842780157506,557807382.700895,2.4483080008785973e-06
1080.0,725.8547407262499,557807382.700895,1.3012641338873508e-06
1089.0,2668.8244955213195,557807382.700895,4.784491167181961e-06
1098.0,1460.0644489752694,557807382.700895,2.6175064982210515e-06
1107.0,722.7101529772009,557807382.700895,1.2956267259817343e-06
1116.0,858.7537084364204,557807382.700895,1.5395165698208364e-06
1125.0,1860.0171088803877,557807382.700895,3.3345150433008128e-06
1134.0,701.5842760850622,557807382.700895,1.2577536580602461e-06
1143.0,950.9737798104907,557807382.700895,1.704842584201539e-06
1152.0,2865.8875647732275,557807382.700895,5.13777273957301e-06
1161.0,794.1678672835477,557807382.700895,1.4237313666201383e-06
1170.0,2106.424307496969,557807382.700895,3.776257491067426e-06
1179.0,1251.4855265946226,557807382.700895,2.2435800697634164e-06
1188.0,1916.1026082520095,557807382.700895,3.4350613987471257e-06
1197.0,2136.505003225373,557807382.700895,3.830184162999865e-06
1206.0,1153.7535845288078,557807382.700895,2.068372739963301e-06
1215.0,1697.1152423735825,557807382.700895,3.042475404603245e-06
1224.0,1368.4120683349918,557807382.700895,2.4531982020552703e-06
1233.0,436.09543228664916,557807382.700895,7.818029051087161e-07
1242.0,391.36466292267255,557807382.700895,7.016125549068402e-07
1251.0,403.1697635811523,557807382.700895,7.227759547193699e-07
1260.0,3110.6325186009663,557807382.700895,5.576535225366381e-06
1269.0,679.941515664344,557807382.700895,1.218953955704346e-06
1278.0,696.1077510948342,557807382.700895,1.247935708065194e-06
1287.0,593.9650284112549,557807382.700895,1.0648210239442963e-06
1296.0,358.25969330430706,557807382.700895,6.422641657584721e-07
1305.0,924.7769336494449,557807382.700895,1.6578786196261669e-06
1314.0,533.2007745368932,557807382.700895,9.558869084075994e-07
1323.0,1841.590237934909,557807382.700895,3.3014805738460413e-06
1332.0,1192.9540953772785,557807382.700895,2.138648810277506e-06
1341.0,631.2467469811551,557807382.700895,1.1316572109975807e-06
1350.0,215.7753062620822,557807382.700895,3.868276271592201e-07
1359.0,1180.1461688865274,557807382.700895,2.1156876109675662e-06
1368.0,1764.1960542196234,557807382.700895,3.162733425429783e-06
1377.0,344.074301003603,557807382.700895,6.168335373002782e-07
1386.0,32.50046076276569,557807382.700895,5.826466585185543e-08
1395.0,630.0877579128451,557807382.700895,1.1295794524302806e-06
1404.0,251.31384835866123,557807382.700895,4.505387632946043e-07
