step,reward
1,-1.6000001e-07
2,-2.1024998e-06
3,-8.265625e-06
4,2.009676e-05
5,-2.4828985e-05
6,-2.1237307e-05
7,4.623408e-06
8,0.00019471768
9,0.00033125424
10,0.00028857854
11,0.00023986565
12,-9.007104e-06
13,1.6077684e-07
14,0.00018498182
15,0.0012304643
16,0.0014999628
17,0.0007912633
18,0.0007087583
19,1.352276e-05
20,-0.00010679783
21,5.021636e-05
22,-2.1882946e-05
23,2.2468414e-05
24,1.0521899e-05
25,-6.04489e-05
26,-0.00014760361
27,-0.00018446466
28,5.8732287e-05
29,0.0013942606
30,0.003136088
31,0.0014344167
32,0.0025432976
33,0.0009261138
34,-0.00023382572
35,0.00024672996
36,0.00027832718
37,0.0010833811
38,0.0010932437
39,0.0010816064
40,0.0004978621
41,-0.00020564438
42,-0.00010437156
43,0.00016747156
44,0.0009507953
45,0.0010918442
46,0.00046606167
47,0.00031574306
48,0.000249716
49,6.8296016e-05
50,-3.1531377e-05
51,-9.8461016e-05
52,-4.5179575e-05
53,0.00018261587
54,0.00048703764
55,0.0010411496
56,0.0016583609
57,0.0014848142
58,0.0018941964
59,0.00139455
60,0.00016051925
61,-5.8000114e-05
62,0.0001415357
63,0.0018970206
64,0.0045949444
65,0.006592194
66,0.0071231206
67,0.0047239484
68,0.0012038312
69,-0.00010147133
70,0.0011115032
71,0.0032841398
72,0.0044415286
73,0.002991254
74,0.0013933305
75,0.00013592803
76,4.5796565e-05
77,0.0003180998
78,0.00035870573
79,8.3893916e-05
80,1.5383055e-05
81,0.00023551735
82,0.0002893663
83,8.7558416e-05
84,1.5874215e-05
85,0.00039508071
86,0.0009788114
87,0.0011078563
88,0.00042551247
89,-8.891449e-06
90,0.0008047824
91,0.0020630574
92,0.0024371936
93,0.0011438903
94,-5.298916e-07
95,0.00083399797
96,0.0032063324
97,0.004121195
98,0.0028067378
99,0.000840681
100,-4.0870636e-05
101,0.0008098131
102,0.002388104
103,0.0035929773
104,0.003596096
105,0.0027892585
106,0.0014252501
107,0.00019571233
108,0.00010969939
109,0.0022432127
110,0.006330777
111,0.011038903
112,0.013200998
113,0.010555157
114,0.0039544185
115,-5.694849e-05
116,0.0025233773
117,0.011751866
118,0.020601926
119,0.022989295
120,0.018435832
121,0.0074753743
122,0.00042466028
123,0.0010789025
124,0.007979
125,0.015136744
126,0.018473791
127,0.013287813
128,0.005712093
129,0.0008494037
130,6.0816667e-05
131,0.0019568822
132,0.0031946725
133,0.0029709663
134,0.0016232063
135,0.000746602
136,0.00057501113
137,0.00091366447
138,0.0016508008
139,0.0022876784
140,0.0014804568
141,5.033282e-05
142,0.0010807988
143,0.006259259
144,0.011719467
145,0.0123896925
146,0.0053977487
147,8.942312e-05
148,0.0027681834
149,0.0105957175
150,0.017099632
151,0.014737499
152,0.0054066908
153,-2.8811875e-05
154,0.0030700404
155,0.011796937
156,0.018635403
157,0.018734273
158,0.013896661
159,0.00775255
160,0.0016086244
161,-0.000106735606
162,0.0047840606
163,0.016674358
164,0.03060763
165,0.034809865
166,0.029857196
167,0.012066521
168,0.00028373534
169,0.0031842361
170,0.01794461
171,0.030646028
172,0.031222347
173,0.019698413
174,0.0074347844
175,0.00048843294
176,0.00023314905
177,0.0020061575
178,0.002476887
179,0.0018314839
180,0.0016774343
181,0.002795818
182,0.006270648
183,0.013026515
184,0.018174369
185,0.017791899
186,0.011006158
187,0.0019968706
188,0.00030859053
189,0.011762396
190,0.033347774
191,0.047423884
192,0.04702492
193,0.032524604
194,0.012063301
195,0.0006162203
196,0.0016814491
197,0.012819247
198,0.022901028
199,0.027424064
200,0.023777565
201,0.016618825
202,0.009691709
203,0.004165096
204,0.0008313754
205,-0.0002615051
206,0.000690226
207,0.004141082
208,0.009122488
209,0.01599177
210,0.020360002
211,0.018679831
212,0.010336779
213,0.0031619575
214,-0.00032677848
215,0.0017991009
216,0.008340203
217,0.014799744
218,0.020119695
219,0.017922232
220,0.0121801505
221,0.0067839497
222,0.0011573188
223,-0.00024607492
224,0.0026160167
225,0.008038463
226,0.012698927
227,0.014232128
228,0.012922247
229,0.0073609324
230,0.0026945714
231,-2.909264e-05
232,-0.00023008777
233,0.002000755
234,0.005668245
235,0.010342902
236,0.013937422
237,0.015263481
238,0.01281761
239,0.0070121144
240,0.0012289395
241,-0.00023716208
242,0.0034523169
243,0.011723608
244,0.01799413
245,0.017392254
246,0.01240585
247,0.005051809
248,0.0006097794
249,6.9072557e-06
250,0.0014698517
251,0.002434555
252,0.0020892024
253,0.0014056951
254,0.0010511964
255,0.0014475271
256,0.0026475561
257,0.0051918295
258,0.0076483767
259,0.006765239
260,0.0032040789
261,-0.000121684025
262,0.002498419
263,0.013921949
264,0.02659735
265,0.030140117
266,0.02360593
267,0.009151092
268,-0.00023869394
269,0.004861953
270,0.020242376
271,0.034881715
272,0.03893244
273,0.02534685
274,0.008060885
275,-0.00039037943
276,0.007337032
277,0.02233327
278,0.03568144
279,0.032244842
280,0.017328478
281,0.0042389943
282,-0.00022281347
283,0.0032833614
284,0.009097621
285,0.010451184
286,0.008003428
287,0.0036898341
288,0.00057670585
289,-1.5377085e-05
290,0.00020762855
291,0.00015963816
292,-7.2337266e-06
293,0.00013806143
294,0.00036125464
295,0.00026242677
296,-5.5659293e-06
297,0.00013619893
298,0.00095934194
299,0.0018857872
300,0.0025785249
301,0.0025545333
302,0.0021012072
303,0.0014744701
304,0.00070293783
305,0.00010419828
306,-3.4731594e-05
307,0.00070628023
308,0.0025477784
309,0.004482119
310,0.005553441
311,0.0049832733
312,0.0027823108
313,0.0008187236
314,-6.4826185e-05
315,0.00033927985
316,0.0014622397
