time,energy_abs
9.0,518.3438107774244
18.0,1095.8213267929907
27.0,768.2469007571387
36.0,3920.886574405994
45.0,1093.4387959241233
54.0,3114.79459674392
63.0,15239.253316835184
72.0,5505.124861514348
81.0,13843.532515587138
90.0,22638.38569559285
99.0,25908.223598006734
108.0,16747.703627389685
117.0,13117.325406724403
126.0,12631.622004035722
135.0,13870.215108965034
144.0,25113.3553363651
153.0,1543.4251000347458
162.0,3728.414178147802
171.0,6727.6624454448765
180.0,17428.693547114515
189.0,8106.030659099731
198.0,6446.827030691412
207.0,16884.138463056806
216.0,16808.648379547943
225.0,4435.611168828883
234.0,5963.494914987202
243.0,18981.216105669944
252.0,9596.619043494407
261.0,14487.432388152487
270.0,2338.3352325876353
279.0,2004.993393371641
288.0,2368.3940405815024
297.0,3231.462694292304
306.0,2323.7917425166224
315.0,4330.2380161207075
324.0,2199.2226021197293
333.0,5371.4340508856
342.0,3463.538241841551
351.0,26132.64856253397
360.0,5465.30326859531
369.0,3790.9524134442813
378.0,10263.80522480295
387.0,2047.9242369226802
396.0,7515.016876908155
405.0,7093.348306620479
414.0,17509.75469986415
423.0,5467.068388933817
432.0,1143.7299473178712
441.0,1609.023137960811
450.0,6415.758259803713
459.0,17696.55579066464
468.0,15718.771587017933
477.0,1604.5097340657292
486.0,3056.187918267243
495.0,3331.121201318282
504.0,1883.4105159782189
513.0,11598.860395128353
522.0,2954.18344648958
531.0,1579.0089959822424
540.0,2109.7712386733056
549.0,3103.33930680531
558.0,12253.773669312495
567.0,7092.225624676779
576.0,25585.6737791895
585.0,15859.103899275584
594.0,16894.85983564265
603.0,18438.252031177173
612.0,5099.443357295571
621.0,6098.315796553243
630.0,3096.3444862253905
639.0,4587.019993828144
648.0,5697.095180171294
657.0,4716.127681143581
666.0,13999.378592711988
675.0,11057.018631912188
684.0,13456.847358480627
693.0,7796.096634017541
702.0,8804.210433061451
711.0,26364.551343096035
720.0,10867.08867032227
729.0,30258.58194343686
738.0,43438.52733655326
747.0,27634.233215717613
756.0,3919.4725144449153
765.0,3649.4046892178458
774.0,2664.954830919815
783.0,21795.328953428903
792.0,11670.25328060585
